FILM ID,FILM NAME,SHOW TIME,DIRECTORS,ACTOR,MANUFACTURING YEAR,COUNTRY,CATEGORY,CONTENT
CN01,Army Of The Dead,150 minutes,Dillahunt, Richard Cetrone,2021,Mỹ,Kinh Dị,Khi zombie lan tràn ở Las Vegas một nhóm lính đánh thuê quyết định chơi canh bạc cuối khi mạo hiểm tiến vào khu cách ly để thực hiện vụ trộm lớn nhất từ trước đến nay.
CN02,The Conjuring 3,152 minutes,Michael Chaves,Patrick Wilson,2021,Mỹ,Kinh Dị,The Conjuring 3: The Devil Made Me Do It là bộ phim kinh dị siêu nhiên của Mỹ được ra mắt vào năm 2021.
CN03,Fast & Furious 9,145 minutes,Justin Lin,Vin Diesel,2021,Mỹ,Hành Động,Dominic Toretto đang có một cuộc sống yên tĩnh ngoài lưới điện với Letty và con trai của anh ta (cậu bé Brian) nhưng họ biết rằng nguy hiểm luôn rình rập ngay phía chân trời yên bình của họ.
CN04,Zack Snyder's Justice League,240 minutes,Zack Snyder,Jason Momoa,2021,Mỹ,Hành Động,Justice League bản mới có thời lượng 4 tiếng.
CN05,BÀN TAY DIỆT QUỶ,128 minutes,Kim Joo Hwan,Park Seo Joon,2021,Hàn Quốc,Hành Động,Sau khi bản thân bỗng nhiên sở hữu “Bàn tay diệt quỷ” võ sĩ MMA Yong Hoo (Park Seo Joon thủ vai) đã dấn thân vào hành trình trừ tà trục quỷ đối đầu với Giám Mục Bóng Tối (Woo Do Hwan)
CN06,MỞ MẮT THẤY HÔM QUA,89 minutes,Max Barbakow,Andy Samberg,2021,Mỹ,Hài,Mở Mắt Thấy Hôm Qua (tựa gốc: Palm Springs) – đúng như tên gọi bộ phim là một vòng lặp bất tận của thời gian với thật nhiều những rắc rối lặp đi lặp lại không có điểm dừng.
